Team 3	Team 2	Team 1	Player	From	To
		DAL	A.C. Green	1997	1999
		LAL	A.C. Green	1986	2000
		MIA	A.C. Green	2001	2001
		PHX	A.C. Green	1994	1997
		CLE	A.J. Bramlett	2000	2000
		WAS	A.J. English	1991	1992
		MIL	A.J. Green	2023	2025
		CHI	A.J. Guyton	2001	2002
		GSW	A.J. Guyton	2003	2003
		DAL	A.J. Hammons	2017	2017
		DAL	A.J. Lawson	2023	2024
		MIN	A.J. Lawson	2023	2023
		TOR	A.J. Lawson	2025	2025
		CLE	A.J. Price	2015	2015
		IND	A.J. Price	2010	2015
		MIN	A.J. Price	2014	2014
		PHX	A.J. Price	2015	2015
		WAS	A.J. Price	2013	2013
		BOS	A.J. Wynder	1991	1991
		CHI	A.W. Holt	1971	1971
		CHI	Aaron Brooks	2015	2016
		DEN	Aaron Brooks	2014	2014
		HOU	Aaron Brooks	2008	2014
		IND	Aaron Brooks	2017	2017
		MIN	Aaron Brooks	2018	2018
		PHX	Aaron Brooks	2011	2011
		SAC	Aaron Brooks	2013	2013
		DEN	Aaron Gordon	2021	2025
		ORL	Aaron Gordon	2015	2021
		CHI	Aaron Gray	2008	2010
		NOP	Aaron Gray	2010	2011
		SAC	Aaron Gray	2014	2014
		TOR	Aaron Gray	2012	2014
		CHA	Aaron Harrison	2016	2017
		DAL	Aaron Harrison	2018	2018
		PHI	Aaron Henry	2022	2022
		ATL	Aaron Holiday	2023	2023
		HOU	Aaron Holiday	2024	2025
		IND	Aaron Holiday	2019	2021
		PHX	Aaron Holiday	2022	2022
		WAS	Aaron Holiday	2022	2022
		HOU	Aaron Jackson	2018	2018
		UTA	Aaron James	1975	1979
		DET	Aaron McKie	1997	1998
		LAL	Aaron McKie	2006	2007
		PHI	Aaron McKie	1998	2005
		POR	Aaron McKie	1995	1997
		GSW	Aaron Miles	2006	2006
		BOS	Aaron Nesmith	2021	2022
		IND	Aaron Nesmith	2023	2025
		PHX	Aaron Swinson	1995	1995
		OKC	Aaron Wiggins	2022	2025
		BKN	Aaron Williams	2001	2005
		DEN	Aaron Williams	1997	1997
		LAC	Aaron Williams	2007	2008
		MEM	Aaron Williams	1997	1997
		MIL	Aaron Williams	1995	1995
		NOP	Aaron Williams	2006	2006
		OKC	Aaron Williams	1998	1999
		TOR	Aaron Williams	2005	2006
		UTA	Aaron Williams	1994	1994
		WAS	Aaron Williams	2000	2000
		BOS	Abdel Nader	2018	2018
		OKC	Abdel Nader	2019	2020
		PHX	Abdel Nader	2021	2022
		DAL	Abdul Jeelani	1981	1981
		POR	Abdul Jeelani	1980	1980
		BOS	Acie Earl	1994	1995
		MIL	Acie Earl	1997	1997
		TOR	Acie Earl	1996	1997
		ATL	Acie Law	2008	2009
		CHA	Acie Law	2010	2010
		CHI	Acie Law	2010	2010
		GSW	Acie Law	2010	2011
		MEM	Acie Law	2011	2011
		OKC	Adam Flagler	2024	2025
		DAL	Adam Harrington	2003	2003
		DEN	Adam Harrington	2003	2003
		ATL	Adam Keefe	1993	1994
		GSW	Adam Keefe	2001	2001
		UTA	Adam Keefe	1995	2000
		CHI	Adam Mokoka	2020	2021
		CHA	Adam Morrison	2007	2009
		LAL	Adam Morrison	2009	2010
		CHI	Adama Sanogo	2024	2025
		SAC	Ade Murkey	2022	2022
		PHI	Adem Bona	2025	2025
		ORL	Admiral Schofield	2022	2024
		WAS	Admiral Schofield	2020	2020
		GSW	Adonal Foyle	1998	2007
		MEM	Adonal Foyle	2009	2009
		ORL	Adonal Foyle	2008	2009
		DEN	Adonis Jordan	1994	1994
		MIL	Adonis Jordan	1999	1999
		ORL	Adonis Thomas	2014	2014
		PHI	Adonis Thomas	2014	2014
		ATL	Adreian Payne	2015	2015
		MIN	Adreian Payne	2015	2017
		ORL	Adreian Payne	2018	2018
		BKN	Adrian Branch	1988	1988
		LAL	Adrian Branch	1987	1987
		MIN	Adrian Branch	1990	1990
		POR	Adrian Branch	1989	1989
		BKN	Adrian Caldwell	1997	1997
		DAL	Adrian Caldwell	1998	1998
		HOU	Adrian Caldwell	1990	1995
		IND	Adrian Caldwell	1996	1996
		PHI	Adrian Caldwell	1997	1997
		DAL	Adrian Dantley	1989	1990
		DET	Adrian Dantley	1987	1989
		IND	Adrian Dantley	1978	1978
		LAC	Adrian Dantley	1977	1977
		LAL	Adrian Dantley	1978	1979
		MIL	Adrian Dantley	1991	1991
		UTA	Adrian Dantley	1980	1986
		BOS	Adrian Griffin	2000	2001
		CHI	Adrian Griffin	2005	2008
		DAL	Adrian Griffin	2002	2006
		HOU	Adrian Griffin	2004	2004
		OKC	Adrian Griffin	2008	2008
		GSW	Adrian Smith	1970	1971
		SAC	Adrian Smith	1962	1970
		IND	Ahmad Caver	2022	2022
		ATL	AJ Griffin	2023	2024
		MIL	AJ Johnson	2025	2025
		WAS	AJ Johnson	2025	2025
		OKC	Ajay Mitchell	2025	2025
		GSW	Al Attles	1961	1971
		BKN	Al Beard	1968	1968
		PHI	Al Bianchi	1957	1966
		BOS	Al Brightman	1947	1947
		BOS	Al Butler	1962	1962
		NYK	Al Butler	1962	1964
		WAS	Al Butler	1965	1965
		OKC	Al Carlson	1976	1976
		PHI	Al Cervi	1950	1953
		DET	Al Eberhard	1975	1978
		ATL	Al Ferrari	1956	1962
		WAS	Al Ferrari	1963	1963
		OKC	Al Fleming	1978	1978
		GSW	Al Guokas	1950	1950
		OKC	Al Hairston	1969	1970
		ATL	Al Harrington	2005	2006
		DEN	Al Harrington	2011	2012
		GSW	Al Harrington	2007	2009
		IND	Al Harrington	1999	2007
		NYK	Al Harrington	2009	2010
		ORL	Al Harrington	2013	2013
		WAS	Al Harrington	2014	2014
		PHI	Al Henry	1971	1972
		ATL	Al Horford	2008	2016
		BOS	Al Horford	2017	2025
		OKC	Al Horford	2021	2021
		PHI	Al Horford	2020	2020
		SAC	Al Jackson	1968	1968
		BOS	Al Jefferson	2005	2007
		CHA	Al Jefferson	2014	2016
		IND	Al Jefferson	2017	2018
		MIN	Al Jefferson	2008	2010
		UTA	Al Jefferson	2011	2013
		BOS	Al Lucas	1949	1949
		ATL	Al Masino	1953	1953
		PHI	Al Masino	1954	1954
		SAC	Al Masino	1954	1954
		NYK	Al McGuire	1952	1954
		DET	Al Roges	1955	1955
		BKN	Al Skinner	1975	1979
		DET	Al Skinner	1978	1978
		PHI	Al Skinner	1979	1980
		DEN	Al Smith	1972	1974
		GSW	Al Thornton	2011	2011
		LAC	Al Thornton	2008	2010
		WAS	Al Thornton	2010	2011
		CHI	Al Tucker	1970	1970
		OKC	Al Tucker	1968	1969
		SAC	Al Tucker	1969	1969
		WAS	Al Tucker	1970	1971
		ATL	Al Wood	1982	1982
		DAL	Al Wood	1987	1987
		LAC	Al Wood	1982	1983
		OKC	Al Wood	1984	1986
		BOS	Alaa Abdelnaby	1993	1994
		MIL	Alaa Abdelnaby	1993	1993
		PHI	Alaa Abdelnaby	1995	1995
		POR	Alaa Abdelnaby	1991	1992
		SAC	Alaa Abdelnaby	1995	1995
		BKN	Alan Anderson	2014	2015
		CHA	Alan Anderson	2006	2007
		LAC	Alan Anderson	2017	2017
		TOR	Alan Anderson	2012	2013
		WAS	Alan Anderson	2016	2016
		DET	Alan Hardy	1982	1982
		LAL	Alan Hardy	1981	1981
		ATL	Alan Henderson	1996	2004
		CLE	Alan Henderson	2006	2006
		DAL	Alan Henderson	2005	2005
		PHI	Alan Henderson	2007	2007
		MIA	Alan Ogg	1991	1992
		MIL	Alan Ogg	1993	1993
		WAS	Alan Ogg	1993	1993
		BKN	Alan Williams	2019	2019
		PHX	Alan Williams	2016	2018
		MIN	Alando Tucker	2010	2010
		PHX	Alando Tucker	2008	2010
		BKN	Albert King	1982	1987
		PHI	Albert King	1988	1988
		SAS	Albert King	1989	1989
		WAS	Albert King	1992	1992
		CLE	Alec Burks	2019	2019
		DET	Alec Burks	2023	2024
		GSW	Alec Burks	2020	2020
		MIA	Alec Burks	2025	2025
		NYK	Alec Burks	2021	2024
		PHI	Alec Burks	2020	2020
		SAC	Alec Burks	2019	2019
		UTA	Alec Burks	2012	2019
		MIA	Alec Kessler	1991	1994
		PHX	Alec Peters	2018	2018
		ORL	Aleem Ford	2022	2022
		POR	Aleksandar Djordjevic	1997	1997
		TOR	Aleksandar Radojevi?	2000	2000
		UTA	Aleksandar Radojevi?	2005	2005
		CHA	Aleksej Pokusevski	2024	2024
		OKC	Aleksej Pokusevski	2021	2024
		GSW	Alen Smailagi?	2020	2021
		OKC	?lex Abrines	2017	2019
		DET	Alex Acker	2006	2009
		LAC	Alex Acker	2009	2009
		LAL	Alex Blackwell	1993	1993
		NYK	Alex Bradley	1982	1982
		CHI	Alex Caruso	2022	2024
		LAL	Alex Caruso	2018	2021
		OKC	Alex Caruso	2025	2025
		OKC	Alex Ducas	2025	2025
		DAL	Alex English	1991	1991
		DEN	Alex English	1980	1990
		IND	Alex English	1979	1980
		MIL	Alex English	1977	1978
		DAL	Alex Fudge	2024	2024
		LAL	Alex Fudge	2024	2024
		NOP	Alex Garcia	2005	2005
		SAS	Alex Garcia	2004	2004
		ATL	Alex Hannum	1955	1957
		DET	Alex Hannum	1957	1957
		PHI	Alex Hannum	1950	1951
		SAC	Alex Hannum	1952	1954
		CLE	Alex Kirk	2015	2015
		ATL	Alex Len	2019	2020
		LAL	Alex Len	2025	2025
		PHX	Alex Len	2014	2018
		SAC	Alex Len	2020	2025
		TOR	Alex Len	2021	2021
		WAS	Alex Len	2021	2021
		ATL	Alex Poythress	2019	2019
		IND	Alex Poythress	2018	2018
		PHI	Alex Poythress	2017	2017
		OKC	Alex Reese	2025	2025
		PHI	Alex Reese	2025	2025
		WAS	Alex Sarr	2025	2025
		SAS	Alex Scales	2006	2006
		LAC	Alex Stepheson	2016	2016
		MEM	Alex Stepheson	2016	2016
		ATL	Alex Stivrins	1993	1993
		LAC	Alex Stivrins	1993	1993
		MIL	Alex Stivrins	1993	1993
		OKC	Alex Stivrins	1986	1986
		PHX	Alex Stivrins	1993	1993
		MEM	Alexander Johnson	2007	2007
		MIA	Alexander Johnson	2008	2008
		ATL	Alexander Volkov	1990	1992
		HOU	Alexey Shved	2015	2015
		MIN	Alexey Shved	2013	2014
		NYK	Alexey Shved	2015	2015
		PHI	Alexey Shved	2015	2015
		CHA	Alexis Ajin a	2009	2010
		DAL	Alexis Ajin a	2011	2011
		NOP	Alexis Ajin a	2014	2017
		TOR	Alexis Ajin a	2011	2011
		CHI	Al-Farouq Aminu	2021	2021
		DAL	Al-Farouq Aminu	2015	2015
		LAC	Al-Farouq Aminu	2011	2011
		NOP	Al-Farouq Aminu	2012	2014
		ORL	Al-Farouq Aminu	2020	2021
		POR	Al-Farouq Aminu	2016	2019
		CHI	Alfonzo McKinnie	2022	2022
		CLE	Alfonzo McKinnie	2020	2020
		GSW	Alfonzo McKinnie	2019	2019
		LAL	Alfonzo McKinnie	2021	2021
		TOR	Alfonzo McKinnie	2018	2018
		SAS	Alfredrick Hughes	1986	1986
		BKN	Alize Johnson	2021	2021
		CHI	Alize Johnson	2022	2022
		IND	Alize Johnson	2019	2020
		NOP	Alize Johnson	2022	2022
		SAS	Alize Johnson	2023	2023
		WAS	Alize Johnson	2022	2022
		DAL	Allan Bristow	1982	1983
		PHI	Allan Bristow	1974	1975
		SAS	Allan Bristow	1976	1979
		UTA	Allan Bristow	1980	1981
		DET	Allan Houston	1994	1996
		NYK	Allan Houston	1997	2005
		BOS	Allan Ray	2007	2007
		ATL	Allen Crabbe	2020	2020
		BKN	Allen Crabbe	2018	2019
		MIN	Allen Crabbe	2020	2020
		POR	Allen Crabbe	2014	2017
		DEN	Allen Iverson	2007	2009
		DET	Allen Iverson	2009	2009
		MEM	Allen Iverson	2010	2010
		PHI	Allen Iverson	1997	2010
		HOU	Allen Leavell	1980	1989
		LAL	Allen Murphy	1977	1977
